rdfid,difficulty
j2d_arrays1,medium
j2d_arrays2,medium
j2d_arrays3,medium
j2d_arrays4,medium
jarray1,medium
jarray2,medium
jarray3,hard
jarray4,medium
jarray5,medium
jarraylist1,medium
jarraylist2,medium
jarraylist3,medium
jarraylist4,hard
jarraylist5,medium
jbankaccount,medium
jba_ques,medium
jboolean_method,medium
jboolean_operators1,easy
jboolean_operators2,medium
jboolean_operator3,easy
jboolean_var,easy
jclass1,medium
jclasses_constructor,medium
jclasses_getter,medium
jConstants1,easy
jConstants2,easy
jConstants3,easy
jConstants4,hard
jConstants5,hard
jdouble1,easy
jdowhile1,easy
jdowhile2,easy
jdowhile3,easy
jdowhile4,medium
jdowhile6,easy
jdowhile8,medium
jExceptions1,hard
jExceptions2,hard
jExceptions3,hard
jExceptions4,medium
jExceptions5,medium
jfor1,easy
jfor2,easy
jfor3,easy
jfor4,medium
jfor5,hard
jif_else1,easy
jif_else2,medium
jif_else3,medium
jif_else4,medium
jif_else5,medium
jincrement,easy
jInheritance1,hard
jInheritance2,hard
jInheritance3,hard
jInheritance4,hard
jInheritance5,hard
jInheritance6,hard
jinteger1,easy
jInterfaces1,hard
jInterfaces2,hard
jInterfaces3,hard
jInterfaces4,hard
jInterfaces5,hard
jint_long,easy
jmath1,easy
jmath2,easy
jnested_loops1,medium
jnested2,medium
jnested3,medium
jobject_rec1,easy
jobject_rec2,medium
jobject_translate,easy
jobject_string1,easy
jobject_string2,easy
joperator1,easy
jpri_float,easy
jstring1,easy
jstring2,medium
jstring3,easy
jstring4,easy
jstring5,easy
jstring6,easy
jstring_double,easy
jstring_int,easy
jswitch1,medium
jswitch2,medium
jswitch3,medium
jvariable1,easy
jvariables1,easy
jvariables2,easy
jprint_var,easy
jprint_var_express,easy
jprint_var_express2,easy
jwhile1,easy
jwhile2,easy
jwhile3,medium
jwhile4,medium
jwhile5,medium
jwrapper_class1,easy
jwrapper_class2,medium
jwrapper_class3,medium
jwrapper_class4,hard
