user,totalPretest
us13T01,8
us13P01,0
us13P02,6
us13P03,6
us13P04,0
us13A01,3
us13A02,3
us13A03,7
us13A04,6
us13A05,6
us13A06,6
us13A07,6
us13A08,8
us13A09,4
us13A10,6
us13A11,5
us13A12,5
us13A13,0
us13A14,0
us13A15,0
us13B01,6
us13B02,6
us13B03,5
us13B04,3
us13B05,5
us13B06,6
us13B07,2
us13B08,5
us13B09,1
us13B10,7
us13B11,6
us13B12,0
us13B13,1
us13B14,0
us13B15,4
us13C01,2
us13C02,5
us13C03,5
us13C04,7
us13C05,7
us13C06,6
us13C07,0
us13C08,2
us13C09,0
us13C10,6
us13C11,6
us13C12,7
us13C13,3
us13C14,0
us13C15,0
